  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 11900 253.412781 252.776657
 i,egev(:,i= 12000 240.724609 252.564835
 i,egev(:,i= 12100 252.885315 252.404343
 i,egev(:,i= 12200 253.054626 252.494537
 i,egev(:,i= 12300 252.641434 252.682251
 i,egev(:,i= 12400 252.731873 252.511368
 i,egev(:,i= 12500 253.063568 252.824234
 i,egev(:,i= 12600 252.986160 252.070175
 i,egev(:,i= 12700 252.524887 252.798141
 i,egev(:,i= 12800 252.275421 251.573975
 i,egev(:,i= 12900 253.030487 252.786362
 i,egev(:,i= 13000 252.271652 252.828568
 i,egev(:,i= 13100 252.193588 252.747208
 i,egev(:,i= 13200 252.830032 252.684418
 i,egev(:,i= 13300 253.283188 252.895493
 i,egev(:,i= 13400 243.700897 252.829346
 i,egev(:,i= 13500 252.927155 252.807007
 i,egev(:,i= 13600 253.064896 252.849487
 i,egev(:,i= 13700 251.990692 239.016144
 i,egev(:,i= 13800 252.204315 251.267822
 i,egev(:,i= 13900 253.148209 252.517776
 i,egev(:,i= 14000 252.498413 252.608826
 i,egev(:,i= 14100 242.991821 252.561340
 i,egev(:,i= 14200 252.130219 252.794342
 i,egev(:,i= 14300 252.523895 252.826462
 i,egev(:,i= 14400 253.150085 249.846436
 i,egev(:,i= 14500 252.059494 252.876404
 i,egev(:,i= 14600 216.952881 252.794952
 i,egev(:,i= 14700 252.505707 252.674515
 i,egev(:,i= 14800 252.406952 252.705536
 i,egev(:,i= 14900 251.386246 252.933090
 i,egev(:,i= 15000 252.935684 251.240005
 i,egev(:,i= 15100 252.471115 253.051575
 i,egev(:,i= 15200 252.242111 252.630081
 i,egev(:,i= 15300 252.946381 249.823853
 i,egev(:,i= 15400 252.769241 250.409470
 i,egev(:,i= 15500 252.546875 247.265152
